,gini,params,AUC
0,0.7550511999999998,"{'colsample_bytree': 3.0, 'gamma': 0.5, 'max_delta_step': 0.2, 'max_depth': 1.0, 'min_child_weight': 0.6, 'n_estimators': 0.6, 'subsample': 100.0}",0.8775255999999999
1,0.7567904000000003,"{'colsample_bytree': 8.0, 'gamma': 8.0, 'max_delta_step': 0.2, 'max_depth': 2.0, 'min_child_weight': 0.8, 'n_estimators': 0.8, 'subsample': 200.0}",0.8783952000000002
2,0.7914476000000001,"{'colsample_bytree': 3.0, 'gamma': 0.2, 'max_delta_step': 0.2, 'max_depth': 2.0, 'min_child_weight': 0.6, 'n_estimators': 0.6, 'subsample': 100.0}",0.8957238000000001
3,0.7430544000000001,"{'colsample_bytree': 8.0, 'gamma': 9.0, 'max_delta_step': 0.2, 'max_depth': 1.0, 'min_child_weight': 0.8, 'n_estimators': 0.8, 'subsample': 150.0}",0.8715272000000001
4,0.7885815999999999,"{'colsample_bytree': 8.0, 'gamma': 0.5, 'max_delta_step': 12.0, 'max_depth': 2.0, 'min_child_weight': 0.6, 'n_estimators': 0.6, 'subsample': 200.0}",0.8942907999999999
5,0.7439304,"{'colsample_bytree': 3.0, 'gamma': 8.0, 'max_delta_step': 12.0, 'max_depth': 1.0, 'min_child_weight': 0.8, 'n_estimators': 0.8, 'subsample': 100.0}",0.8719652
6,0.7558796000000001,"{'colsample_bytree': 8.0, 'gamma': 0.2, 'max_delta_step': 12.0, 'max_depth': 1.0, 'min_child_weight': 0.6, 'n_estimators': 0.6, 'subsample': 150.0}",0.8779398
7,0.7550972000000002,"{'colsample_bytree': 3.0, 'gamma': 9.0, 'max_delta_step': 12.0, 'max_depth': 2.0, 'min_child_weight': 0.8, 'n_estimators': 0.8, 'subsample': 110.0}",0.8775486000000001
8,0.8003564000000001,"{'colsample_bytree': 0.81252635100962, 'gamma': 4.09743981745038, 'max_delta_step': 2.300315991351259, 'max_depth': 11.988844466908871, 'min_child_weight': 3.52499639027277, 'n_estimators': 200.72846689983032, 'subsample': 0.9658204234402932}",0.9001782
9,0.7923472,"{'colsample_bytree': 0.5383627168749803, 'gamma': 1.7716090861953782, 'max_delta_step': 2.3093891338009778, 'max_depth': 8.298197791975902, 'min_child_weight': 7.5259676210978, 'n_estimators': 131.61092792246828, 'subsample': 0.4562230631352454}",0.8961736
10,0.7977128,"{'colsample_bytree': 0.848306253527773, 'gamma': 4.021623090385786, 'max_delta_step': 6.457945015316769, 'max_depth': 7.143161008545615, 'min_child_weight': 3.4322172150823826, 'n_estimators': 292.63045102496244, 'subsample': 0.6691237100746703}",0.8988564
11,0.7936468000000001,"{'colsample_bytree': 0.4243448121922047, 'gamma': 3.8260049328518235, 'max_delta_step': 0.61242494791378, 'max_depth': 3.919878231164879, 'min_child_weight': 14.933930123455399, 'n_estimators': 115.22861209124247, 'subsample': 0.6379412489443349}",0.8968234
12,0.7967844,"{'colsample_bytree': 0.5979185465195286, 'gamma': 7.060320194318522, 'max_delta_step': 7.08302566555068, 'max_depth': 9.877309445587557, 'min_child_weight': 1.7948900410412416, 'n_estimators': 207.46589629349376, 'subsample': 0.5515502820541642}",0.8983922
13,0.7968668000000001,"{'colsample_bytree': 0.9370813339410987, 'gamma': 8.535595975497245, 'max_delta_step': 7.9039402697819, 'max_depth': 7.889760689111449, 'min_child_weight': 10.57670482166818, 'n_estimators': 138.88209584780287, 'subsample': 0.675264200985846}",0.8984334
14,0.7914584000000002,"{'colsample_bytree': 0.47624385136877606, 'gamma': 7.91855825540351, 'max_delta_step': 4.266591728661215, 'max_depth': 9.174421243050851, 'min_child_weight': 8.687177225922117, 'n_estimators': 254.61466530890524, 'subsample': 0.45304466265764365}",0.8957292000000001
15,0.7935224000000001,"{'colsample_bytree': 0.7564115147503534, 'gamma': 1.0434943898753177, 'max_delta_step': 7.830874505008288, 'max_depth': 4.937529655062384, 'min_child_weight': 19.185376267503184, 'n_estimators': 232.60371101083894, 'subsample': 0.6481378091216314}",0.8967612
16,0.7975760000000001,"{'colsample_bytree': 0.6227434271798178, 'gamma': 5.885275347484548, 'max_delta_step': 9.179557464899418, 'max_depth': 7.8322546961054265, 'min_child_weight': 13.64127675036029, 'n_estimators': 115.40994986416061, 'subsample': 0.8135256145680108}",0.898788
17,0.8003032000000001,"{'colsample_bytree': 0.5405964094515688, 'gamma': 6.040176301682547, 'max_delta_step': 5.334447298965253, 'max_depth': 11.347490675627867, 'min_child_weight': 6.28547516663547, 'n_estimators': 204.71897705855855, 'subsample': 0.888798891737598}",0.9001516
18,0.7935471999999997,"{'colsample_bytree': 0.5600130081232738, 'gamma': 0.291349021256743, 'max_delta_step': 8.643385404792541, 'max_depth': 5.490558582026041, 'min_child_weight': 16.099172175688437, 'n_estimators': 290.58397863201014, 'subsample': 0.5923144565443175}",0.8967735999999998
19,0.7969735999999998,"{'colsample_bytree': 0.6120500138791963, 'gamma': 0.8800869323067337, 'max_delta_step': 0.19831601243525565, 'max_depth': 4.126310512618438, 'min_child_weight': 15.085355751633934, 'n_estimators': 109.39981828270436, 'subsample': 0.9691801194572875}",0.8984867999999999
20,0.7960128000000002,"{'colsample_bytree': 0.8690868962062708, 'gamma': 1.3180094963474385, 'max_delta_step': 9.349958858657558, 'max_depth': 8.54076328933282, 'min_child_weight': 11.273497034435596, 'n_estimators': 211.24453384236676, 'subsample': 0.7502395563684549}",0.8980064000000001
21,0.7880119999999997,"{'colsample_bytree': 0.9559134915525891, 'gamma': 1.3831445431802791, 'max_delta_step': 7.233388055900738, 'max_depth': 2.253273073540512, 'min_child_weight': 16.38796198906111, 'n_estimators': 148.6166239376056, 'subsample': 0.44925672003668515}",0.8940059999999999
22,0.7920816000000002,"{'colsample_bytree': 0.737931386755367, 'gamma': 2.846791556390064, 'max_delta_step': 5.274144487593575, 'max_depth': 4.8521314516894005, 'min_child_weight': 12.401587776308297, 'n_estimators': 264.8150367628475, 'subsample': 0.45119428554143903}",0.8960408000000001
23,0.797704,"{'colsample_bytree': 0.6740563521987378, 'gamma': 7.371113116079495, 'max_delta_step': 0.28855273084643973, 'max_depth': 11.195883634156996, 'min_child_weight': 0.7842989264350209, 'n_estimators': 113.39315321416689, 'subsample': 0.5557300458565619}",0.898852
24,0.7975260000000002,"{'colsample_bytree': 0.8591460795146616, 'gamma': 1.4641712544577354, 'max_delta_step': 5.709153795140336, 'max_depth': 5.773972321572242, 'min_child_weight': 11.107538090668761, 'n_estimators': 135.70983284813454, 'subsample': 0.8079187420454521}",0.8987630000000001
25,0.7997720000000001,"{'colsample_bytree': 0.9084599966552596, 'gamma': 4.438504008219857, 'max_delta_step': 1.0983546463383032, 'max_depth': 5.566672375795408, 'min_child_weight': 4.767224529827294, 'n_estimators': 113.73826879474422, 'subsample': 0.7549449381109073}",0.8998860000000001
26,0.7959824000000002,"{'colsample_bytree': 0.7484628820202439, 'gamma': 7.795594967460188, 'max_delta_step': 7.4046942367980195, 'max_depth': 7.99135741446316, 'min_child_weight': 19.044550110363694, 'n_estimators': 260.8640683260936, 'subsample': 0.7462617953999876}",0.8979912000000001
27,0.7974312000000001,"{'colsample_bytree': 0.8686904122625673, 'gamma': 5.075716286382698, 'max_delta_step': 4.454098328632198, 'max_depth': 3.2077416668075047, 'min_child_weight': 5.741356130637227, 'n_estimators': 191.91298460371985, 'subsample': 0.699992336322143}",0.8987156000000001
28,0.7935012000000001,"{'colsample_bytree': 0.7857440779956255, 'gamma': 4.4119673326663875, 'max_delta_step': 5.414876980987625, 'max_depth': 7.444283297221908, 'min_child_weight': 14.755554017032317, 'n_estimators': 183.4736656269276, 'subsample': 0.5467605217805827}",0.8967506000000001
29,0.7941663999999999,"{'colsample_bytree': 0.9680098340123022, 'gamma': 2.907484974099878, 'max_delta_step': 9.39200402112511, 'max_depth': 9.003590407971757, 'min_child_weight': 17.978230770281545, 'n_estimators': 254.37034319813688, 'subsample': 0.6246773835483946}",0.8970832
30,0.7898616,"{'colsample_bytree': 0.7766223847298162, 'gamma': 8.715378293150263, 'max_delta_step': 2.0316202916050594, 'max_depth': 5.004301666079377, 'min_child_weight': 17.642250478806183, 'n_estimators': 188.69747512010022, 'subsample': 0.43755463811303447}",0.8949308
31,0.7995987999999996,"{'colsample_bytree': 0.9644552253554634, 'gamma': 6.7657472619149726, 'max_delta_step': 2.3900935411026047, 'max_depth': 9.237625232594542, 'min_child_weight': 1.992016700217023, 'n_estimators': 175.22156807716232, 'subsample': 0.9615243949983261}",0.8997993999999998
32,0.8009476,"{'colsample_bytree': 0.4854545390973089, 'gamma': 1.1392557158817815, 'max_delta_step': 7.352307331825089, 'max_depth': 9.731479537731762, 'min_child_weight': 4.568418803110513, 'n_estimators': 276.2592270326996, 'subsample': 0.9452750415420728}",0.9004738
33,0.7967152000000002,"{'colsample_bytree': 0.7906948922647448, 'gamma': 7.143906970497585, 'max_delta_step': 1.0890315609749057, 'max_depth': 5.716235448401766, 'min_child_weight': 9.848510590235035, 'n_estimators': 259.42843106741293, 'subsample': 0.6696321363684616}",0.8983576000000001
34,0.7929067999999997,"{'colsample_bytree': 0.6539408314232116, 'gamma': 7.1778987930241485, 'max_delta_step': 2.0965106950689982, 'max_depth': 8.406645179850715, 'min_child_weight': 7.8170873978364686, 'n_estimators': 152.17145261308102, 'subsample': 0.5215580528107113}",0.8964533999999998
35,0.7984307999999998,"{'colsample_bytree': 0.97459357123486, 'gamma': 3.3758442689424033, 'max_delta_step': 3.852380082642707, 'max_depth': 9.872275971837862, 'min_child_weight': 0.6238610159377944, 'n_estimators': 266.03074877778766, 'subsample': 0.599856002650368}",0.8992153999999999
36,0.7962952000000001,"{'colsample_bytree': 0.4898385490213911, 'gamma': 7.035654361879532, 'max_delta_step': 1.5717715094013218, 'max_depth': 8.206134517228161, 'min_child_weight': 16.45835835749437, 'n_estimators': 179.36414853803754, 'subsample': 0.6808272060597732}",0.8981476
